Timestamp,SourceIP,DestinationIP,DestinationPort,Event,Bytes
2026-09-14T10:00:12.000,192.0.2.16,192.0.2.200,8080,GET,351
2026-09-14T10:00:12.125,203.0.113.30,192.0.2.200,8080,GET,358
2026-09-14T10:00:12.250,203.0.113.34,192.0.2.200,8080,SYN,360
2026-09-14T10:00:12.375,192.0.2.11,192.0.2.200,8080,SYN,654
2026-09-14T10:00:12.500,192.0.2.11,192.0.2.200,8080,GET,170
2026-09-14T10:00:12.625,198.51.100.21,192.0.2.200,8080,SYN,249
2026-09-14T10:00:12.750,192.0.2.13,192.0.2.200,8080,GET,536
2026-09-14T10:00:12.875,192.0.2.15,192.0.2.200,8080,GET,64
2026-09-14T10:00:13.000,198.51.100.23,192.0.2.200,8080,GET,674
2026-09-14T10:00:13.125,203.0.113.30,192.0.2.200,8080,GET,76
2026-09-14T10:00:13.250,203.0.113.32,192.0.2.200,8080,GET,468
2026-09-14T10:00:13.375,198.51.100.21,192.0.2.200,8080,GET,752
2026-09-14T10:00:13.500,198.51.100.21,192.0.2.200,8080,GET,306
2026-09-14T10:00:13.625,192.0.2.12,192.0.2.200,8080,GET,436
2026-09-14T10:00:13.750,198.51.100.21,192.0.2.200,8080,GET,625
2026-09-14T10:00:13.875,203.0.113.33,192.0.2.200,8080,GET,338
2026-09-14T10:00:14.000,198.51.100.24,192.0.2.200,8080,GET,696
2026-09-14T10:00:14.125,203.0.113.33,192.0.2.200,8080,SYN,650
2026-09-14T10:00:14.250,192.0.2.12,192.0.2.200,8080,SYN,509
2026-09-14T10:00:14.375,192.0.2.10,192.0.2.200,8080,SYN,679
2026-09-14T10:00:14.500,203.0.113.35,192.0.2.200,8080,GET,638
2026-09-14T10:00:14.625,203.0.113.31,192.0.2.200,8080,SYN,187
2026-09-14T10:00:14.750,198.51.100.20,192.0.2.200,8080,SYN,307
2026-09-14T10:00:14.875,192.0.2.11,192.0.2.200,8080,SYN,280
